#rank	title	distributor	href	year	poster	trailer
3	Superman II	Warner Bros.	Superman_II	1981	3/36/Superman_II.jpg	jxD8RlGnP64
4	Arthur	Warner Bros.	Arthur_(1981_film)	1981	7/7b/Arthur_(1981_film)_poster.jpg	Z-vMsjd0ccM
5	Stripes	Columbia	Stripes_(film)	1981	3/3e/Stripesposter.jpg	sKHwEoCIYqA
6	The Cannonball Run	20th Century Fox	The_Cannonball_Run	1981	a/a0/Cannonball_run.jpg	s8BNVDUslcE
7	Chariots of Fire	Warner Bros.	Chariots_of_Fire	1981	b/b5/Chariots_of_fire.jpg	odtqtlhsv4E
8	For Your Eyes Only	United Artists	For_Your_Eyes_Only_(film)	1981	c/cd/For_Your_Eyes_Only_-_UK_cinema_poster.jpg	e0iF8TCk4Fw
9	The Four Seasons	Universal	The_Four_Seasons_(1981_film)	1981	9/9b/Four_seasonsmovieposter.jpg	QqTfHyRpXCI
10	Time Bandits	Embassy	Time_Bandits	1981	8/82/Time_bandits.jpg	vioocIR0gHQ
11	Clash of the Titans	United Artists	Clash_of_the_Titans_(1981_film)	1981	d/d2/Clash_of_the_titansposter.jpg	ojw1sau98Jg
12	The Postman Always Rings Twice	Paramount	The_Postman_Always_Rings_Twice_(1981_film)	1981	a/a1/Postman_always_rings_twice.jpg	WXAHXsA76oY	
13	Excalibur	Warner Bros.	Excalibur_(film)	1981	6/60/Excalibur_movie_poster.jpg	6QR6_17mn5s
14	Bustin' Loose	Universal	Bustin'_Loose_(film)	1981	e/ea/Bustin'_Loose.jpg	S3xiOW7SCkw	
15	Escape from New York	Embassy	Escape_from_New_York	1981	4/4b/EscapefromNYposter.jpg	ckvDo2JHB7o
16	Endless Love	Universal	Endless_Love_(1981_film)	1981	f/f0/Endless_love.jpg	dlnoOdbZFdg
17	An American Werewolf in London	Universal	An_American_Werewolf_in_London	1981	e/e5/An_American_Werewolf_in_London_poster.jpg	Tfz9AhPnM8c


1	E.T. the Extra-Terrestrial	Universal	E.T._the_Extra-Terrestrial	1982	6/66/E_t_the_extra_terrestrial_ver3.jpg	wZNInG8kSiA
2	Tootsie	Columbia	Tootsie	1982	a/a2/Tootsie_imp.jpg	4U9hfQujTcM
3	An Officer and a Gentleman	Paramount	An_Officer_and_a_Gentleman	1982	0/06/An_Officer_and_a_Gentleman_film_poster.jpg	VEpu6TcmcJg
4	Rocky III	United Artists	Rocky_III	1982	f/f4/Rocky_iii_poster.jpg	o7vbDPUMWDc
5	Porky's	20th Century Fox	Porky's	1982	6/6e/Porkys.jpg	QWmtDAIK03M
6	Star Trek II: The Wrath of Khan	Paramount	Star_Trek_II:_The_Wrath_of_Khan	1982	9/9a/Star_Trek_II_The_Wrath_of_Khan.png	x8X44NRltMM
7	48 Hrs.	Paramount	48_Hrs.	1982	1/17/Forty_eight_hrs.jpg	GgOFrVID_CU
8	Poltergeist	MGM	Poltergeist_(1982_film)	1982	e/e4/Poltergeist_(1982).png	9eZgEKjYJqA
9	The Best Little Whorehouse in Texas	Universal	The_Best_Little_Whorehouse_in_Texas_(film)	1982	a/af/Best_little_whorehouse_in_texasposter.jpg	2BE3NqTRfLc
10	Annie	Columbia	Annie_(1982_film)	1982	c/cd/Annie-film.jpg	I78xulb-l0s
11	Gandhi	Columbia	Gandhi_(film)	1982	1/10/Gandhi-poster.png	B7I6D3mSYTE
12	Death Wish II	Filmways	Death_Wish_II	1982	4/4c/Death_Wish_II.jpg	y4L65odzonc
13	Conan the Barbarian	Universal	Conan_the_Barbarian_(1982_film)	1982	e/ed/Conan_movie_psoter.jpg	Nok-jOYn6Dg
14	Firefox	Warner Bros.	Firefox_(film)	1982	4/42/Firefox(1982_film)_poster.jpg	T5W4MiBuEnY
15	Blade Runner	Warner Bros.	Blade_Runner	1982	9/9f/Blade_Runner_(1982_poster).png	eogpIG53Cis
16	Tron	Buena Vista	Tron	1982	1/17/Tron_poster.jpg	hMT8tRrEMC4
17	The Thing
18	Pink Floyd – The Wall
19	First Blood
20	Piranha II: The Spawning
21	The Verdict
22	The Toy (1982 film)
23	Best Friends (1982 film)





#rank	title	distributor	href	year	poster	trailer
1	Return of the Jedi	20th Century Fox	Return_of_the_Jedi	1983	b/b2/ReturnOfTheJediPoster1983.jpg	
2	Terms of Endearment	Paramount	Terms_of_Endearment	1983	b/bf/Terms_of_Endearment,_1983_film.jpg	sSY3YUrdSJI
3	Flashdance	Paramount	Flashdance	1983	7/7c/Flashdanceposter.jpg	
4	Trading Places	Paramount	Trading_Places	1983	4/4d/Trading_Places.jpg	
5	WarGames	MGM	WarGames	1983	2/29/Wargames.jpg	
6	Octopussy	MGM	Octopussy	1983	b/b2/Octopussy_-_UK_cinema_poster.jpg	
7	Sudden Impact	Warner Bros.	Sudden_Impact	1983	0/0b/Sudden_Impact.jpg	
8	Staying Alive	Paramount	Staying_Alive_(1983_film)	1983	f/f0/Stayingalive.jpg	
